"symbol";"company";"identifier";"sedol";"weight";"sector";"shares_held";"local_currency"
"TAP";"Molson Coors Beverage Company Class B";"60871R20";"B067BM3";0,000383454434208192;"Consumer Staples";2141453;"USD"
"AAP";"Advance Auto Parts Inc.";"00751Y10";"2822019";0,000382904384813756;"Consumer Discretionary";817969;"USD"
"LYV";"Live Nation Entertainment Inc.";"53803410";"B0T7YX2";0,000382434342603966;"Communication Services";1615890;"USD"
"ETFC";"E*TRADE Financial Corporation";"26924640";"2299011";0,000382084311171143;"Financials";2591714;"USD"
"HSIC";"Henry Schein Inc.";"80640710";"2416962";0,000379734100122191;"Health Care";1693146;"USD"
"LKQ";"LKQ Corporation";"50188920";"2971029";0,000379194051625836;"Consumer Discretionary";3526098;"USD"
"DISCK";"Discovery Inc. Class C";"25470F30";"B3D7KG4";0,000378353976187062;"Communication Services";3966031;"USD"
"GL";"Globe Life Inc.";"37959E10";"BK6YKG1";0,000377443894461723;"Financials";1148482;"USD"
"WRB";"W. R. Berkley Corporation";"08442310";"2093644";0,000374263608872077;"Financials";1657047;"USD"
"TXT";"Textron Inc.";"88320310";"2885937";0,000372073412192415;"Industrials";2632544;"USD"
"EMN";"Eastman Chemical Company";"27743210";"2298386";0,000364872765574349;"Materials";1564959;"USD"
"PKG";"Packaging Corporation of America";"69515610";"2504566";0,000363282622779526;"Materials";1077936;"USD"
"MRO";"Marathon Oil Corporation";"56584910";"2910970";0,000363112607512155;"Energy";9199456;"USD"
"CMA";"Comerica Incorporated";"20034010";"2212870";0,000359412275222315;"Financials";1707316;"USD"
"NRG";"NRG Energy Inc.";"62937750";"2212922";0,00035501188006683;"Utilities";2894966;"USD"
"FBHS";"Fortune Brands Home & Security Inc.";"34964C10";"B3MC7D6";0,000354761857614814;"Industrials";1599014;"USD"
"JBHT";"J.B. Hunt Transport Services Inc.";"44565810";"2445416";0,000354421827080072;"Industrials";977279;"USD"
"DVN";"Devon Energy Corporation";"25179M10";"2480677";0,000341870699988859;"Energy";4437587;"USD"
"DISH";"DISH Network Corporation Class A";"25470M10";"2303581";0,000340620587728778;"Communication Services";2923453;"USD"
"CF";"CF Industries Holdings Inc.";"12526910";"B0G4K50";0,000338280377577906;"Materials";2498237;"USD"
"SNA";"Snap-on Incorporated";"83303410";"2818740";0,000337660321896906;"Industrials";635268;"USD"
"DXC";"DXC Technology Co.";"23355L10";"BYXD7B3";0,000335520129707648;"Information Technology";2995447;"USD"
"WHR";"Whirlpool Corporation";"96332010";"2960384";0,000333599957276163;"Consumer Discretionary";717321;"USD"
"IPG";"Interpublic Group of Companies Inc.";"46069010";"2466321";0,000331659783048518;"Communication Services";4413931;"USD"
"FRT";"Federal Realty Investment Trust";"31374720";"2333931";0,000330339664501872;"Real Estate";797930;"USD"
"IRM";"Iron Mountain Inc.";"46284V10";"BVFTF03";0,000329449584572695;"Real Estate";3271811;"USD"
"NOV";"National Oilwell Varco Inc.";"63707110";"2624486";0,000317888546391466;"Energy";4370828;"USD"
"ALB";"Albemarle Corporation";"01265310";"2046853";0,000314948282355756;"Materials";1220695;"USD"
"KIM";"Kimco Realty Corporation";"49446R10";"2491594";0,000306867556706592;"Real Estate";4758680;"USD"
"ZION";"Zions Bancorporation N.A.";"98970110";"2989828";0,000306807551318108;"Financials";2022836;"USD"
"MHK";"Mohawk Industries Inc.";"60819010";"2598699";0,000306767547725786;"Consumer Discretionary";685325;"USD"
"JNPR";"Juniper Networks Inc.";"48203R10";"2431846";0,000302307147181817;"Information Technology";3904651;"USD"
"ABMD";"ABIOMED Inc.";"00365410";"2003698";0,000300326969361849;"Health Care";513663;"USD"
"BWA";"BorgWarner Inc.";"09972410";"2111955";0,000300326969361849;"Consumer Discretionary";2351167;"USD"
"CPB";"Campbell Soup Company";"13442910";"2162845";0,000297286696345332;"Consumer Staples";1930624;"USD"
"PRGO";"Perrigo Co. Plc";"G9782210";"BGH1M56";0,00029370637483246;"Health Care";1557490;"USD"
"ALK";"Alaska Air Group Inc.";"01165910";"2012605";0,000292816294903282;"Industrials";1408151;"USD"
"AIZ";"Assurant Inc.";"04621X10";"2331430";0,000292396257183895;"Financials";702462;"USD"
"TPR";"Tapestry Inc.";"87603010";"BF09HX3";0,000289125963511523;"Consumer Discretionary";3298247;"USD"
"FFIV";"F5 Networks Inc.";"31561610";"2427599";0,000287165787487716;"Information Technology";684734;"USD"
"AIV";"Apartment Investment and Management Company Class A";"03748R75";"BJLNBG3";0,000286065688698845;"Real Estate";1702424;"USD"
"FTI";"TechnipFMC Plc";"G8711010";"BDSFG98";0,000284375536923216;"Energy";4806926;"USD"
"PNR";"Pentair plc";"G7S00T10";"BLS09M3";0,000283325442624748;"Industrials";1923511;"USD"
"NWL";"Newell Brands Inc";"65122910";"2635701";0,000281495278275989;"Consumer Discretionary";4419470;"USD"
"SLG";"SL Green Realty Corp.";"78440X10";"2096847";0,000277174890305149;"Real Estate";942809;"USD"
"NLSN";"Nielsen Holdings Plc";"G6518L10";"BWFY550";0,000269944240992841;"Industrials";4012418;"USD"
"KSS";"Kohl's Corporation";"50025510";"2496113";0,000267544025453486;"Consumer Discretionary";1819855;"USD"
"RHI";"Robert Half International Inc.";"77032310";"2110703";0,000265883876372098;"Industrials";1345720;"USD"
"DVA";"DaVita Inc.";"23918K10";"2898087";0,00026483378207363;"Health Care";1037025;"USD"
"BEN";"Franklin Resources Inc.";"35461310";"2350684";0,000264543756029291;"Financials";3226701;"USD"
"FLIR";"FLIR Systems Inc.";"30244510";"2344717";0,000264143720106066;"Information Technology";1534630;"USD"
"PVH";"PVH Corp.";"69365610";"B3V9F12";0,000263543666221227;"Consumer Discretionary";847527;"USD"
"PBCT";"People's United Financial Inc.";"71270410";"B1W41J2";0,000259283283638871;"Financials";5092282;"USD"
"IVZ";"Invesco Ltd.";"G491BT10";"B28XP76";0,000258403204607774;"Financials";4403308;"USD"
"HFC";"HollyFrontier Corporation";"43610610";"B5VX1H6";0,000255232919916208;"Energy";1731286;"USD"
"MOS";"Mosaic Company";"61945C10";"B3NPHP6";0,000253292745688563;"Materials";3988708;"USD"
"XRX";"Xerox Holdings Corporation";"98421M10";"BJJD5G3";0,000250582502308707;"Information Technology";2176123;"USD"
"LEG";"Leggett & Platt Incorporated";"52466010";"2510682";0,000241451682361076;"Consumer Discretionary";1480523;"USD"
"COG";"Cabot Oil & Gas Corporation";"12709710";"2162340";0,000235991192009042;"Energy";4824125;"USD"
"AOS";"A. O. Smith Corporation";"83186520";"2816023";0,000233290949527268;"Industrials";1582430;"USD"
"FLS";"Flowserve Corporation";"34354P10";"2288406";0,000225970292132233;"Industrials";1465340;"USD"
"FOX";"Fox Corporation Class B";"35137L20";"BJJMGY5";0,000222790006542588;"Communication Services";1830001;"USD"
"RL";"Ralph Lauren Corporation Class A";"75121210";"B4V9661";0,00022158989877291;"Consumer Discretionary";596012;"USD"
"UNM";"Unum Group";"91529Y10";"2433842";0,000216919479369247;"Financials";2386513;"USD"
"SEE";"Sealed Air Corporation";"81211K10";"2232793";0,000216839472184602;"Materials";1785298;"USD"
"PWR";"Quanta Services Inc.";"74762E10";"2150204";0,00021541934465715;"Industrials";1653581;"USD"
"HOG";"Harley-Davidson Inc.";"41282210";"2411053";0,000202218159190695;"Consumer Discretionary";1813545;"USD"
"CPRI";"Capri Holdings Limited";"G1890L10";"BJ1N1M9";0,000200798031663243;"Consumer Discretionary";1739022;"USD"
"NWSA";"News Corporation Class A";"65249B10";"BBGVT40";0,000196787671532904;"Communication Services";4292443;"USD"
"M";"Macy's Inc";"55616P10";"2345022";0,000191537200040564;"Consumer Discretionary";3522686;"USD"
"HBI";"Hanesbrands Inc.";"41034510";"B1BJSL9";0,000188306909960514;"Consumer Discretionary";4144818;"USD"
"IPGP";"IPG Photonics Corporation";"44980X10";"2698782";0,000187436831827498;"Information Technology";404695;"USD"
"ROL";"Rollins Inc.";"77571110";"2747305";0,000184306550728255;"Industrials";1611212;"USD"
"DISCA";"Discovery Inc. Class A";"25470F10";"B3D7K31";0,000182816416914239;"Communication Services";1800258;"USD"
"XEC";"Cimarex Energy Co.";"17179810";"2987521";0,00017757594631998;"Energy";1154631;"USD"
"HRB";"H&R Block Inc.";"09367110";"2105505";0,000175985803525157;"Consumer Discretionary";2288038;"USD"
"HP";"Helmerich & Payne Inc.";"42345210";"2420101";0,000171485399388865;"Energy";1259088;"USD"
"ADS";"Alliance Data Systems Corporation";"01858110";"2762030";0,000166074913527235;"Information Technology";469292;"USD"
"LB";"L Brands Inc.";"50179710";"B9M2WX3";0,000162834622549105;"Consumer Discretionary";2570687;"USD"
"JWN";"Nordstrom Inc.";"65566410";"2641827";0,000152153663398973;"Consumer Discretionary";1203439;"USD"
"GPS";"Gap Inc.";"36476010";"2360326";0,000140192589294519;"Consumer Discretionary";2462174;"USD"
"UAA";"Under Armour Inc. Class A";"90431110";"B0PZN11";0,000135472165400453;"Consumer Discretionary";2082306;"USD"
"UA";"Under Armour Inc. Class C";"90431120";"BDF9YM2";0,000128621550215209;"Consumer Discretionary";2215726;"USD"
"COTY";"Coty Inc. Class A";"22207020";"BBBSMJ2";0,000117280531791755;"Consumer Staples";3434799;"USD"
"NWS";"News Corporation Class B";"65249B20";"BBGVT51";6,61259381092422e-05;"Communication Services";1410174;"USD"
